                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6668,                 3.5625,                 2.5226,                0.08049,                0.18409,                0.10468,                 0.0245,                 2.9725,                 3.3526,                 3.1547,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.6528,                 3.4079,                 2.5821,                0.07236,                0.18409,                0.09916,                0.02379,                 2.9592,                 3.3684,                 3.2029,              5.544e-05,              5.544e-05,              5.544e-05
                      3,                 2.4093,                 3.2788,                  2.261,                0.26394,                0.25554,                0.19798,                0.07721,                 1.9947,                 3.9354,                 1.6575,             8.8528e-05,             8.8528e-05,             8.8528e-05
                      4,                 1.5235,                 2.4813,                 1.3053,                0.26628,                0.54275,                0.35919,                0.09765,                 2.3575,                 3.0497,                  2.026,             0.00012148,             0.00012148,             0.00012148
                      5,                 1.4617,                 1.9616,                 1.3563,                0.43017,                0.82644,                0.66884,                0.32522,                 1.7167,                 2.1247,                 1.4254,             0.00015431,             0.00015431,             0.00015431
                      6,                 1.4096,                 1.4752,                 1.2196,                0.62016,                0.78253,                0.83379,                 0.3311,                 2.0935,                 2.0892,                 1.7476,               0.000187,               0.000187,               0.000187
                      7,                 1.3633,                 1.2721,                 1.1477,                0.90438,                0.91144,                0.97383,                0.47178,                 1.8197,                  1.548,                 1.5845,             0.00021956,             0.00021956,             0.00021956
                      8,                 1.3832,                 1.1099,                 1.1658,                0.88524,                0.88248,                0.98283,                 0.5787,                 1.5596,                   1.49,                 1.3904,             0.00025199,             0.00025199,             0.00025199
                      9,                  1.291,                 1.0779,                 1.1747,                0.86428,                0.74914,                0.91936,                0.61319,                 1.2699,                 1.9086,                 1.1705,             0.00028428,             0.00028428,             0.00028428
                     10,                  1.272,                 0.9977,                 1.1379,                 0.5677,                 0.8208,                0.71478,                0.43524,                 1.4858,                 2.1563,                 1.3011,             0.00031645,             0.00031645,             0.00031645
                     11,                 1.2774,                  1.028,                  1.153,                0.67484,                  0.754,                0.73834,                0.48339,                 1.3349,                 2.1468,                 1.2372,             0.00034848,             0.00034848,             0.00034848
                     12,                 1.2539,                0.82797,                  1.094,                0.69608,                0.80281,                 0.7705,                0.43362,                 1.6289,                  2.537,                 1.5113,             0.00038038,             0.00038038,             0.00038038
                     13,                 1.3398,                0.96987,                 1.1844,                 0.6311,                0.80398,                0.70892,                0.39294,                 1.6833,                 2.8749,                 1.5397,             0.00041215,             0.00041215,             0.00041215
                     14,                 1.2385,                0.83013,                 1.1002,                0.65526,                0.80395,                0.74194,                0.47138,                 1.4437,                 2.8988,                 1.3364,             0.00044379,             0.00044379,             0.00044379
                     15,                 1.2446,                  0.818,                 1.1433,                0.77528,                0.77951,                0.80052,                0.55833,                 1.1792,                 2.3342,                 1.1442,             0.00047529,             0.00047529,             0.00047529
                     16,                 1.3114,                0.83841,                 1.1393,                 0.5854,                0.78571,                0.60367,                0.42709,                 1.1969,                 4.2346,                 1.1352,             0.00050666,             0.00050666,             0.00050666
                     17,                  1.218,                0.73126,                 1.1166,                0.63291,                0.94755,                0.62279,                0.35927,                 1.5675,                  13.76,                  1.465,              0.0005379,              0.0005379,              0.0005379
                     18,                 1.2074,                0.77541,                 1.1603,                0.62513,                0.92188,                0.62523,                0.36749,                 1.5228,                  9.459,                 1.4568,             0.00056901,             0.00056901,             0.00056901
                     19,                 1.2297,                0.67317,                 1.1316,                0.75183,                0.91032,                0.89604,                 0.5184,                 1.4971,                 3.4698,                 1.4152,             0.00059999,             0.00059999,             0.00059999
                     20,                 1.2318,                0.68169,                 1.1154,                0.87951,                0.87542,                0.90831,                0.54734,                 1.4821,                 1.6426,                  1.364,             0.00063083,             0.00063083,             0.00063083
                     21,                 1.2051,                0.67268,                 1.1083,                0.84051,                0.86778,                0.88136,                0.56744,                 1.3502,                 1.2074,                  1.247,             0.00066154,             0.00066154,             0.00066154
                     22,                 1.1821,                 0.6922,                 1.1296,                0.93625,                0.83067,                0.91978,                0.54952,                 1.5146,                 1.2606,                  1.382,             0.00069212,             0.00069212,             0.00069212
                     23,                 1.1641,                0.65238,                 1.1163,                0.80911,                0.84954,                0.86706,                0.44067,                 1.8233,                  1.523,                 1.6804,             0.00072257,             0.00072257,             0.00072257
                     24,                 1.2033,                0.73926,                 1.1282,                0.75575,                0.86019,                0.80505,                0.38246,                 1.8811,                 2.6905,                 1.7241,             0.00075289,             0.00075289,             0.00075289
                     25,                 1.2846,                0.76671,                 1.1509,                0.94616,                0.94405,                0.96697,                0.59815,                 1.4827,                0.85253,                 1.3309,             0.00078307,             0.00078307,             0.00078307
                     26,                 1.2285,                0.65473,                 1.0953,                0.95257,                0.92705,                 0.9925,                0.61447,                 1.4649,                0.78362,                 1.3167,             0.00081312,             0.00081312,             0.00081312
                     27,                 1.3009,                0.64509,                 1.1222,                0.94133,                 0.9206,                0.96419,                0.61288,                 1.3813,                0.78454,                   1.28,             0.00084304,             0.00084304,             0.00084304
                     28,                 1.2396,                0.63244,                 1.1363,                0.91849,                   0.95,                0.96906,                0.56814,                 1.4746,                0.83932,                 1.3443,             0.00087283,             0.00087283,             0.00087283
                     29,                 1.2585,                0.63086,                 1.1223,                0.91849,                   0.95,                0.96906,                0.56814,                 1.4746,                0.83932,                 1.3443,             0.00090249,             0.00090249,             0.00090249
                     30,                 1.1857,                0.57255,                 1.0869,                 0.8501,                0.92966,                0.92981,                0.53955,                 1.5711,                0.85089,                  1.403,             0.00093201,             0.00093201,             0.00093201
                     31,                 1.2031,                0.60039,                 1.0969,                0.88713,                0.93463,                0.99271,                0.64331,                 1.3502,                0.79366,                 1.2644,             0.00096141,             0.00096141,             0.00096141
                     32,                 1.1603,                0.59965,                 1.0996,                0.89516,                 0.8352,                0.96483,                0.65262,                 1.2055,                 0.8467,                  1.177,             0.00099067,             0.00099067,             0.00099067
                     33,                 1.2066,                0.64011,                 1.0624,                0.89516,                 0.8352,                0.96483,                0.65262,                 1.2055,                 0.8467,                  1.177,              0.0010198,              0.0010198,              0.0010198
                     34,                 1.3523,                0.75959,                 1.2318,                 0.7543,                0.59559,                0.72792,                0.48046,                 1.2651,                 2.7058,                 1.1758,              0.0010384,              0.0010384,              0.0010384
                     35,                 1.2152,                0.84166,                 1.1224,                 0.5935,                0.52548,                0.54017,                0.28584,                 1.8114,                 3.7591,                  1.624,              0.0010384,              0.0010384,              0.0010384
                     36,                 1.2515,                 0.7457,                 1.1362,                0.59661,                0.63151,                0.65949,                0.36105,                 1.6182,                 2.4839,                 1.4703,              0.0010362,              0.0010362,              0.0010362
                     37,                 1.1923,                0.76711,                 1.0808,                0.59661,                0.63151,                0.65949,                0.36105,                 1.6182,                 2.4839,                 1.4703,               0.001034,               0.001034,               0.001034
                     38,                 1.2341,                0.73747,                 1.1501,                0.75714,                0.65166,                0.74479,                0.38727,                 1.6416,                 2.5139,                 1.5287,              0.0010318,              0.0010318,              0.0010318
                     39,                 1.1797,                0.66406,                 1.1157,                0.70108,                0.60758,                0.74275,                0.43941,                 1.4063,                 3.0395,                 1.3351,              0.0010296,              0.0010296,              0.0010296
                     40,                 1.0937,                0.65634,                 1.0396,                0.74836,                0.58029,                0.76953,                0.44987,                 1.5378,                 2.0831,                 1.3887,              0.0010274,              0.0010274,              0.0010274
                     41,                 1.2329,                0.71866,                 1.1104,                0.74836,                0.58029,                0.76953,                0.44987,                 1.5378,                 2.0831,                 1.3887,              0.0010252,              0.0010252,              0.0010252
                     42,                 1.2347,                0.73704,                 1.0914,                0.26655,                 0.6854,                0.35921,                0.20306,                 1.8063,                 7.5541,                 1.6135,               0.001023,               0.001023,               0.001023
                     43,                 1.1739,                0.65871,                 1.0796,                0.47964,                0.75123,                0.67588,                0.38439,                 1.6347,                 5.3451,                  1.502,              0.0010208,              0.0010208,              0.0010208
                     44,                 1.2586,                0.75055,                 1.0962,                0.59374,                0.74387,                0.77727,                0.41473,                 1.7695,                 3.4577,                 1.5831,              0.0010186,              0.0010186,              0.0010186
                     45,                  1.188,                0.69462,                 1.0758,                0.59374,                0.74387,                0.77727,                0.41473,                 1.7695,                 3.4577,                 1.5831,              0.0010164,              0.0010164,              0.0010164
                     46,                 1.2563,                0.68341,                 1.0909,                0.69205,                0.63512,                0.66739,                0.31004,                 2.1158,                 6.9488,                 1.8334,              0.0010142,              0.0010142,              0.0010142
                     47,                 1.2897,                0.70335,                 1.0999,                0.46319,                0.57119,                0.47027,                0.26339,                 2.0482,                  63.47,                 1.7807,               0.001012,               0.001012,               0.001012
                     48,                 1.2793,                0.68711,                 1.1665,                0.73261,                0.70727,                0.63586,                0.39172,                 1.7051,                 10.454,                  1.478,              0.0010098,              0.0010098,              0.0010098
                     49,                 1.2566,                0.67956,                 1.1561,                0.73261,                0.70727,                0.63586,                0.39172,                 1.7051,                 10.454,                  1.478,              0.0010076,              0.0010076,              0.0010076
                     50,                 1.2581,                0.65145,                 1.0903,                0.53135,                 0.6933,                0.58783,                0.31386,                 1.7122,                 4.5712,                 1.5015,              0.0010054,              0.0010054,              0.0010054
                     51,                 1.3142,                0.68371,                 1.2167,                0.90106,                0.79113,                0.80134,                0.44756,                 1.5872,                 1.5385,                 1.4033,              0.0010032,              0.0010032,              0.0010032
