                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5026,                 4.0566,                 2.5889,                 0.0019,                   0.15,                0.00191,                0.00042,                 2.7823,                 4.0948,                 3.1897,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                  2.392,                 4.0544,                 2.4655,                0.00271,                  0.175,                0.00228,                0.00051,                 2.7765,                 4.1155,                 3.2738,              5.544e-05,              5.544e-05,              5.544e-05
                      3,                 2.4289,                 4.0573,                 2.5448,                0.09512,                0.32771,                0.15627,                0.08434,                   1.67,                 3.5359,                  1.566,             8.8528e-05,             8.8528e-05,             8.8528e-05
                      4,                 1.8017,                  3.032,                 1.6154,                0.30094,                0.33636,                0.13718,                0.06006,                 2.0464,                 18.727,                 1.7395,             0.00012148,             0.00012148,             0.00012148
                      5,                 1.4826,                 2.5776,                 1.4568,                0.24611,                0.61143,                0.24503,                 0.1149,                 1.6858,                 66.238,                 1.6905,             0.00015431,             0.00015431,             0.00015431
                      6,                 1.3411,                 2.2258,                  1.326,                0.09721,                0.78015,                0.19198,                0.10345,                 1.8274,                    inf,                 1.6436,               0.000187,               0.000187,               0.000187
                      7,                 1.3217,                 1.9011,                 1.2267,                0.23212,                  0.875,                 0.2443,                0.10597,                 1.8101,                    inf,                 1.5167,             0.00021956,             0.00021956,             0.00021956
                      8,                 1.3763,                 1.6567,                 1.2817,                0.22222,                  0.925,                0.39126,                0.19158,                  1.593,                 86.356,                 1.3622,             0.00025199,             0.00025199,             0.00025199
                      9,                 1.4208,                 1.3868,                 1.2841,                0.47375,                0.67554,                0.41357,                0.26888,                  1.212,                 83.006,                 1.1456,             0.00028428,             0.00028428,             0.00028428
                     10,                 1.2965,                 1.2638,                 1.1825,                0.49583,                0.73095,                0.50523,                0.27117,                  1.468,                    inf,                  1.325,             0.00031645,             0.00031645,             0.00031645
                     11,                 1.3486,                 1.4437,                 1.2289,                0.71717,                0.70333,                0.62774,                0.41427,                 1.2478,                    inf,                 1.2225,             0.00034848,             0.00034848,             0.00034848
                     12,                 1.3115,                 1.2019,                 1.1373,                0.53495,                0.95476,                0.59518,                0.32792,                 1.4992,                    inf,                 1.3767,             0.00038038,             0.00038038,             0.00038038
                     13,                  1.431,                 1.3637,                 1.2626,                0.05527,                0.19024,                 0.0264,                0.01894,                 2.2335,                    inf,                 2.2755,             0.00041215,             0.00041215,             0.00041215
                     14,                 1.3121,                0.98448,                  1.152,                0.04003,                0.09833,                0.01656,                0.00952,                 2.3941,                    inf,                 3.0912,             0.00044379,             0.00044379,             0.00044379
                     15,                 1.2589,                  1.002,                 1.1604,                0.00771,                0.05167,                0.01107,                0.00605,                 2.1024,                    inf,                 2.0949,             0.00047529,             0.00047529,             0.00047529
                     16,                 1.3159,                0.97511,                 1.1701,                0.07688,                0.39487,                0.05576,                0.01841,                 2.0143,                    inf,                 1.7846,             0.00050666,             0.00050666,             0.00050666
                     17,                 1.2607,                0.95719,                  1.186,                0.20185,                0.06667,                0.01471,                0.01018,                 3.2204,                    inf,                 7.5314,              0.0005379,              0.0005379,              0.0005379
                     18,                 1.2901,                 1.0417,                 1.1976,                 0.0336,                0.03833,                0.03412,                0.01021,                  2.919,                    inf,                  6.828,             0.00056901,             0.00056901,             0.00056901
                     19,                 1.2962,                 1.0106,                 1.1694,                0.01667,                  0.025,                0.02761,                0.00917,                 2.6021,                    inf,                 7.1344,             0.00059999,             0.00059999,             0.00059999
                     20,                 1.3885,                0.86384,                 1.1904,                0.02059,                0.07667,                0.00682,                0.00505,                 2.6761,                    inf,                 4.0094,             0.00063083,             0.00063083,             0.00063083
                     21,                 1.2585,                 0.9344,                 1.1453,                0.20046,                0.03152,                0.00031,                0.00018,                 3.1441,                    inf,                 5.7746,             0.00066154,             0.00066154,             0.00066154
                     22,                 1.2651,                 0.9203,                 1.1997,                0.00044,                0.03152,                0.00042,                0.00016,                 3.6224,                    inf,                 7.5009,             0.00069212,             0.00069212,             0.00069212
                     23,                 1.2372,                0.90542,                 1.1595,                0.00044,                0.03152,                0.00042,                0.00016,                 3.6877,                    inf,                 7.3391,             0.00072257,             0.00072257,             0.00072257
                     24,                 1.2504,                0.79738,                 1.1425,                0.40381,                0.05524,                0.00232,                0.00047,                 3.4591,                    inf,                  5.494,             0.00075289,             0.00075289,             0.00075289
